name,AuthorityId,url,ClearanceAware
Academy_GetBotCustomization,gamecms-hacs,https://gamecms-hacs.svc.halowaypoint.com/hi/multiplayer/file/Academy/BotCustomizationData.json,TRUE
Academy_GetContent,gamecms,https://gamecms/hi/multiplayer/file/Academy/AcademyClientManifest.json,TRUE
Academy_GetContentTest,gamecms-hacs,https://gamecms-hacs.svc.halowaypoint.com/hi/multiplayer/file/Academy/AcademyClientManifest_Test.json,TRUE
Academy_GetStarDefinitions,gamecms,https://gamecms/hi/multiplayer/file/Academy/AcademyStarGUIDDefinitions.json,TRUE
Crashes_Upload,crashes,https://crashes.svc.halowaypoint.com/crashes/hipc/bf05b320-ee8f-4be5-879d-505b669654c9,FALSE
Economy_AiCoreCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/ais/{coreId},TRUE
Economy_AiCoresCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/ais,TRUE
Economy_AllOwnedCoresDetails,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/cores,TRUE
Economy_ArmorCoreCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/armors/{coreId},TRUE
Economy_ArmorCoresCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/armors,TRUE
Economy_GetActiveBoosts,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/boosts,TRUE
Economy_GetAwardedRewards,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/rewards/{rewardId},TRUE
Economy_GetBoostsStore,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/stores/boosts,TRUE
Economy_GetEventsStore,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/stores/events,TRUE
Economy_GetGiveawayRewards,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/giveaways,TRUE
Economy_GetHCSStore,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/stores/hcs,TRUE
Economy_GetInventoryItems,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/inventory,TRUE
Economy_GetMainStore,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/stores/main,TRUE
Economy_GetMultiplePlayersCustomization,economy,https://economy.svc.halowaypoint.com/hi/customization,TRUE
Economy_GetOperationRewardLevelsStore,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/stores/operationrewardlevels,TRUE
Economy_GetOperationsStore,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/stores/operations,TRUE
Economy_GetRewardTrack,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/rewardtracks/{rewardTrackType}s/{trackId},TRUE
Economy_GetVirtualCurrencyBalances,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/currencies,TRUE
Economy_GetXpGrantsStore,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/stores/xpgrants,TRUE
Economy_OwnedCoreDetails,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/cores/{coreId},TRUE
Economy_PlayerAppearanceCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/appearance,TRUE
Economy_PlayerCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization,TRUE
Economy_PlayerOperations,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/rewardtracks/operations,TRUE
Economy_PostCurrencyTransaction,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/currencies/{currencyId}/transactions,TRUE
Economy_PurchaseStorefrontOfferingTransaction,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/storetransactions,TRUE
Economy_ScheduledStorefrontOfferings,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/stores/{storeId},TRUE
Economy_SpartanBodyCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/spartanbody,TRUE
Economy_VehicleCoreCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/vehicles/{coreId},TRUE
Economy_VehicleCoresCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/vehicles,TRUE
Economy_WeaponCoreCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/weapons/{coreId},TRUE
Economy_WeaponCoresCustomization,economy,https://economy.svc.halowaypoint.com/hi/players/{player}/customization/weapons,TRUE
GameCms_GetAchievements,gamecms,https://gamecms/hi/Multiplayer/file/Live/Achievements.json,TRUE
GameCms_GetArmorCoreManifest,gamecms,https://gamecms/hi/Progression/file/Inventory/Manifest/armorcores.json,TRUE
GameCms_GetAsyncComputeOverrides,gamecms,https://gamecms/hi/Specs/file/graphics/AsyncComputeOverrides.json,TRUE
GameCms_GetBanMessage,gamecms,https://gamecms/hi/Banning/file/{banMessagePath},TRUE
GameCms_GetChallenge,gamecms,https://gamecms/hi/Progression/file/{challengePath},TRUE
GameCms_GetChallengeDeck,gamecms,https://gamecms/hi/Progression/file/{challengeDeckPath},TRUE
